Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
14,"50MA, MACD, Upper_BB, Lower_BB, ATR, Williams_%R",128,3,2,0.3,0.001,32,60,1,150,leaky_relu,0.583869703,85.23206751,0.991105777
15,"20MA, RSI, Lower_BB, ATR, Williams_%R, OBV",128,3,3,0.2,0.001,64,60,1,100,relu,0.479916258,84.38818565,1.214051671
18,"20MA, 50MA, RSI, MACD, ATR, Williams_%R",64,3,3,0.4,0.0005,64,60,1,150,leaky_relu,0.530995423,84.38818565,1.058409197
21,"50MA, MACD, Lower_BB, CCI, ATR, OBV",128,2,2,0.2,0.0001,32,5,1,150,leaky_relu,0.851470328,83.95061728,0.991167491
22,"20MA, RSI, MACD, CCI, ATR, Williams_%R",128,3,2,0.3,0.0001,64,5,1,150,leaky_relu,0.878902503,83.95061728,0.877461555
